model,problem_id,problem_title,status,processing_time,rounds,total_candidates,difficulty
qwen2-5-coder,find-a-safe-walk-through-a-grid,,unsolved,329.3336033821106,0,15,Medium
qwen2-5-coder,maximum-multiplication-score,,solved,380.91126537323,0,15,Medium
qwen2-5-coder,minimum-number-of-valid-strings-to-form-target-i,,unsolved,274.58746910095215,0,15,Medium
qwen2-5-coder,report-spam-message,,solved,32.12865877151489,0,3,Medium
qwen2-5-coder,minimum-number-of-seconds-to-make-mountain-height-zero,,unsolved,897.7760677337646,0,39,Medium
qwen2-5-coder,count-substrings-that-can-be-rearranged-to-contain-a-string-i,,solved,643.1072175502777,0,27,Medium
qwen2-5-coder,maximize-the-total-height-of-unique-towers,,solved,267.3803448677063,0,15,Medium
qwq-preview,shortest-distance-after-road-addition-queries-i,,solved,845.9024379253387,0,11,Medium
qwq-preview,number-of-subsequences-with-odd-sum,,unsolved,1267.450451374054,0,39,Medium
qwq-preview,count-the-number-of-good-nodes,,unsolved,702.2890677452087,0,24,Medium
qwq-preview,construct-string-with-minimum-cost-easy,,solved,986.3422091007233,0,23,Medium
qwq-preview,find-the-power-of-k-size-subarrays-i,,solved,167.1566174030304,0,9,Medium
qwq-preview,find-the-power-of-k-size-subarrays-ii,,solved,497.9721305370331,0,24,Medium
qwq-preview,maximum-energy-boost-from-two-drinks,,solved,902.2039361000061,0,24,Medium
qwq-preview,count-almost-equal-pairs-i,,unsolved,818.4381623268127,0,36,Medium
qwq-preview,hash-divided-string,,solved,61.183940172195435,0,3,Medium
qwq-preview,k-th-nearest-obstacle-queries,,solved,600.5729298591614,0,15,Medium
qwq-preview,maximize-score-of-numbers-in-ranges,,solved,108.67076969146729,0,3,Medium
qwq-preview,reach-end-of-array-with-max-score,,unsolved,943.8976953029633,0,26,Medium
qwq-preview,sum-of-consecutive-subarrays,,unsolved,1114.066237449646,0,39,Medium
qwq-preview,find-a-safe-walk-through-a-grid,,solved,324.4659881591797,0,9,Medium
qwq-preview,maximum-multiplication-score,,solved,598.6507914066315,0,14,Medium
qwq-preview,minimum-number-of-valid-strings-to-form-target-i,,solved,444.05720472335815,0,15,Medium
qwq-preview,report-spam-message,,solved,61.730809688568115,0,3,Medium
qwq-preview,minimum-number-of-seconds-to-make-mountain-height-zero,,solved,324.42512679100037,0,9,Medium
qwq-preview,count-substrings-that-can-be-rearranged-to-contain-a-string-i,,solved,326.2281174659729,0,15,Medium
qwq-preview,maximize-the-total-height-of-unique-towers,,solved,306.7121727466583,0,15,Medium
